Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  713  ?a   => ?a  532  ?b	0.098513011	0.095323741	0.768115942	53	556	69	?b
?b  611  ?a   => ?a  349  ?b	0.064102564	0.010303141	0.512528474	225	21838	439	?b
?a  757  ?b   => ?a  391  ?b	0.041756659	0.06613455	0.517857143	58	877	112	?a
?a  401  ?b   => ?a  391  ?b	0.068394528	0.029051988	0.145929339	95	3270	651	?a
?a  88  ?b   => ?a  123  ?b	0.1859545	0.000115459	0.205016358	188	1628285	917	?a
?a  179  ?b   => ?a  123  ?b	0.015825915	0.000335451	0.516129032	16	47697	31	?a
?a  40  ?b   => ?a  982  ?b	0.010945274	0.000114329	0.222222222	22	192427	99	?a
?b  479  ?a   => ?a  982  ?b	0.024378109	0.017929016	0.466666667	49	2733	105	?a
?a  879  ?b   => ?a  365  ?b	0.019296254	0.00006936	0.772727273	17	245099	22	?b
?b  366  ?a   => ?a  365  ?b	0.301929625	0.243589744	0.97080292	266	1092	274	?b
?b  132  ?a   => ?a  131  ?b	0.195473251	0.034875184	1	95	2724	95	?a
?a  108  ?b   => ?a  131  ?b	0.022633745	0.00146569	1	11	7505	11	?a
?a  1277  ?b   => ?a  1287  ?b	0.127562642	0.004326997	0.143958869	112	25884	778	?a
?a  1060  ?b   => ?a  1287  ?b	0.069476082	0.020840451	0.378881988	61	2927	161	?a
?a  109  ?b   => ?a  896  ?b	0.011713666	0.001109559	0.72972973	27	24334	37	?a
?b  179  ?a   => ?a  768  ?b	0.013391637	0.001027318	0.18490566	49	47697	265	?b
?b  51  ?a   => ?a  768  ?b	0.055479639	0.040535144	0.783783784	203	5008	259	?b
?a  109  ?b   => ?a  768  ?b	0.052746652	0.00793129	0.22546729	193	24334	856	?b
?a  78  ?b   => ?a  768  ?b	0.084722602	0.010254375	0.425824176	310	30231	728	?b
?a  1002  ?b   => ?a  267  ?b	0.066619166	0.371031746	0.436915888	187	504	428	?b
?a  459  ?b   => ?a  156  ?b	0.0125	0.000020458	0.166666667	2	97761	12	?b
?a  74  ?b   => ?a  1275  ?b	0.0104993	0.008905601	0.818181818	45	5053	55	?a
?a  1370  ?b   => ?a  36  ?b	0.1	0.020967742	0.866666667	13	620	15	?a
?a  112  ?b   => ?a  36  ?b	0.015384615	0.000028468	1	2	70254	2	?a
?a  265  ?b   => ?a  36  ?b	0.061538462	0.000063747	0.470588235	8	125497	17	?a
?b  1201  ?a   => ?a  31  ?b	0.195641407	0.22079374	0.460775736	1580	7156	3429	?b
?b  250  ?a   => ?a  31  ?b	0.039995047	0.013539003	0.240148699	323	23857	1345	?b
?a  248  ?b   => ?a  31  ?b	0.095591877	0.083785544	0.547906317	772	9214	1409	?b
?a  324  ?b   => ?a  31  ?b	0.012258544	0.000734154	0.301829268	99	134849	328	?b
?a  41  ?b   => ?a  23  ?b	0.116838488	0.009018568	0.944444444	34	3770	36	?a
?a  613  ?b   => ?a  23  ?b	0.144329897	0.000188584	0.506024096	42	222712	83	?a
?a  567  ?b   => ?a  82  ?b	0.021428571	0.001823708	1	3	1645	3	?b
?b  18  ?a   => ?a  82  ?b	0.028571429	0.000813339	0.4	4	4918	10	?b
?a  36  ?b   => ?a  1370  ?b	0.020967742	0.1	0.928571429	13	130	14	?b
?a  265  ?b   => ?a  1370  ?b	0.025806452	0.000127493	0.727272727	16	125497	22	?b
?b  643  ?a   => ?a  642  ?b	0.626654898	0.494773519	1	710	1435	710	?b
?a  119  ?b   => ?a  184  ?b	0.011649457	0.024269167	0.785714286	44	1813	56	?a
?a  839  ?b   => ?a  25  ?b	0.27331996	0.026593149	0.654261705	545	20494	833	?a
?a  229  ?b   => ?a  483  ?b	0.086232239	0.010365135	0.228274968	176	16980	771	?a
?a  236  ?b   => ?a  483  ?b	0.041646252	0.012749363	0.204819277	85	6667	415	?a
?a  1254  ?b   => ?a  483  ?b	0.013718765	0.002873858	0.777777778	28	9743	36	?a
?b  130  ?a   => ?a  1083  ?b	0.055776892	0.008298755	1	14	1687	14	?a
?b  108  ?a   => ?a  1083  ?b	0.035856574	0.001199201	1	9	7505	9	?a
?a  107  ?b   => ?a  1083  ?b	0.039840637	0.001059098	1	10	9442	10	?a
?a  130  ?b   => ?a  1083  ?b	0.043824701	0.006520451	0.846153846	11	1687	13	?a
?a  940  ?b   => ?a  1083  ?b	0.011952191	0.000204401	0.6	3	14677	5	?a
?a  983  ?b   => ?a  84  ?b	0.084388186	0.015232292	0.444444444	20	1313	45	?b
?b  509  ?a   => ?a  392  ?b	0.011389522	0.000622859	1	10	16055	10	?b
?a  1336  ?b   => ?a  392  ?b	0.159453303	0.001225716	1	140	114219	140	?b
?b  1382  ?a   => ?a  392  ?b	0.020501139	0.000258851	0.391304348	18	69538	46	?b
?b  775  ?a   => ?a  1211  ?b	0.17826087	0.000498644	0.159533074	41	82223	257	?b
?b  107  ?a   => ?a  1211  ?b	0.02173913	0.000529549	0.192307692	5	9442	26	?b
?a  108  ?b   => ?a  1211  ?b	0.043478261	0.001332445	0.454545455	10	7505	22	?b
?a  107  ?b   => ?a  1211  ?b	0.052173913	0.001270917	0.428571429	12	9442	28	?b
?a  775  ?b   => ?a  1211  ?b	0.326086957	0.000912154	0.261324042	75	82223	287	?b
?b  108  ?a   => ?a  1211  ?b	0.052173913	0.001598934	0.375	12	7505	32	?b
?b  879  ?a   => ?a  773  ?b	0.454545455	0.000652797	1	160	245099	160	?a
?a  749  ?b   => ?a  773  ?b	0.028409091	0.001436782	0.625	10	6960	16	?a
?b  768  ?a   => ?a  51  ?b	0.040535144	0.055479639	0.812	203	3659	250	?a
?a  613  ?b   => ?a  773  ?b	0.883522727	0.001396422	0.996794872	311	222712	312	?a
?b  143  ?a   => ?a  1058  ?b	0.052699484	0.035973173	0.334593573	531	14761	1587	?b
?b  1012  ?a   => ?a  76  ?b	0.012	0.000581734	0.5	3	5157	6	?b
?b  321  ?a   => ?a  322  ?b	0.495535714	0.126208073	0.200361011	444	3518	2216	?b
?a  1121  ?b   => ?a  1386  ?b	0.30148368	0.043646361	0.493203883	508	11639	1030	?a
?b  1347  ?a   => ?a  80  ?b	0.105084746	0.000004871	0.96875	31	6363874	32	?b
?b  1146  ?a   => ?a  295  ?b	0.02970297	0.000107335	0.75	6	55900	8	?b
?b  109  ?a   => ?a  295  ?b	0.03960396	0.000328758	0.666666667	8	24334	12	?b
?b  78  ?a   => ?a  295  ?b	0.02970297	0.000198472	0.6	6	30231	10	?b
?b  606  ?a   => ?a  295  ?b	0.01980198	0.000080423	0.8	4	49737	5	?b
?a  606  ?b   => ?a  295  ?b	0.103960396	0.000422221	0.84	21	49737	25	?b
?a  247  ?b   => ?a  295  ?b	0.064356436	0.001893664	0.764705882	13	6865	17	?b
?a  879  ?b   => ?a  295  ?b	0.04950495	0.0000408	0.909090909	10	245099	11	?b
?a  613  ?b   => ?a  493  ?b	0.250710227	0.001585007	0.336832061	353	222712	1048	?a
?a  1347  ?b   => ?a  242  ?b	0.096655212	0.00084414	0.774733199	5372	6363874	6934	?a
?a  815  ?b   => ?a  42  ?b	0.206554549	0.000065039	0.241188318	479	7364813	1986	?a
?a  1127  ?b   => ?a  42  ?b	0.090556274	0.12345679	0.273794003	210	1701	767	?a
?b  73  ?a   => ?a  460  ?b	0.097087379	0.000277886	0.625	10	35986	16	?b
?a  247  ?b   => ?a  460  ?b	0.058252427	0.000873999	1	6	6865	6	?b
?b  78  ?a   => ?a  460  ?b	0.038834951	0.000132315	0.8	4	30231	5	?b
?b  88  ?a   => ?a  287  ?b	0.031141869	0.000011055	0.642857143	18	1628285	28	?b
?a  768  ?b   => ?a  287  ?b	0.025951557	0.004099481	0.882352941	15	3659	17	?b
?b  1  ?a   => ?a  287  ?b	0.096885813	0.002926268	0.933333333	56	19137	60	?b
?b  88  ?a   => ?a  114  ?b	0.059467919	0.000163362	0.753541076	266	1628285	353	?b
?a  610  ?b   => ?a  114  ?b	0.214397496	0.038788222	0.989680083	959	24724	969	?b
?a  112  ?b   => ?a  914  ?b	0.0146086	0.000754405	0.791044776	53	70254	67	?a
?a  1347  ?b   => ?a  914  ?b	0.028114664	0.000016028	0.953271028	102	6363874	107	?a
?a  242  ?b   => ?a  914  ?b	0.052646086	0.00343655	0.737451737	191	55579	259	?a
?a  454  ?b   => ?a  914  ?b	0.033351709	0.000596844	0.119683482	121	202733	1011	?a
?a  247  ?b   => ?a  326  ?b	0.106870229	0.00203933	1	14	6865	14	?b
?a  918  ?b   => ?a  419  ?b	0.15529623	0.016947492	0.471389646	346	20416	734	?a
?a  299  ?b   => ?a  419  ?b	0.11535009	0.00150834	0.287793953	257	170386	893	?a
?b  1  ?a   => ?a  198  ?b	0.548387097	0.026649945	0.342741935	510	19137	1488	?a
?b  318  ?a   => ?a  318  ?b	0.632	0.632	0.908045977	79	125	87	?b
?a  112  ?b   => ?a  318  ?b	0.056	0.000099638	0.104477612	7	70254	67	?b
?b  180  ?a   => ?a  1188  ?b	0.137272571	0.953218117	0.998127925	3199	3356	3205	?a
?b  293  ?a   => ?a  293  ?b	0.518961604	0.518961604	0.743160888	10975	21148	14768	?b
?b  1146  ?a   => ?a  606  ?b	0.896374932	0.797549195	0.99686962	44583	55900	44723	?b
?a  1190  ?b   => ?a  728  ?b	0.013872216	0.070772372	0.189090909	208	2939	1100	?a
?a  112  ?b   => ?a  266  ?b	0.01124498	0.000199277	0.254545455	14	70254	55	?a
?a  270  ?b   => ?a  54  ?b	0.214285714	0.000066024	0.818181818	27	408944	33	?a
?b  576  ?a   => ?a  576  ?b	0.28985312	0.28985312	0.532293987	12906	44526	24246	?b
?b  1094  ?a   => ?a  1094  ?b	0.180555556	0.180555556	0.693333333	52	288	75	?b
?a  576  ?b   => ?a  1094  ?b	0.017361111	0.000112294	0.294117647	5	44526	17	?b
?a  674  ?b   => ?a  1094  ?b	0.013888889	0.000024605	0.181818182	4	162568	22	?b
?a  760  ?b   => ?a  895  ?b	0.017721519	0.000269781	0.162790698	7	25947	43	?a
?b  108  ?a   => ?a  118  ?b	0.01242236	0.000266489	1	2	7505	2	?b
?a  107  ?b   => ?a  118  ?b	0.01863354	0.000317729	1	3	9442	3	?b
?a  265  ?b   => ?a  118  ?b	0.01863354	0.000023905	0.75	3	125497	4	?b
?b  209  ?a   => ?a  118  ?b	0.242236025	0.215469613	0.975	39	181	40	?b
?a  13  ?b   => ?a  1074  ?b	0.082493874	0.067318374	0.902860548	1515	22505	1678	?a
?a  948  ?b   => ?a  257  ?b	0.162423178	0.005520081	0.156382079	185	33514	1183	?a
?a  126  ?b   => ?a  1074  ?b	0.961230602	0.05991298	0.657124777	17653	294644	26864	?a
?b  797  ?a   => ?a  797  ?b	0.930612245	0.930612245	1	228	245	228	?a
?a  796  ?b   => ?a  797  ?b	1	0.133879781	0.564516129	245	1830	434	?a
?b  796  ?a   => ?a  797  ?b	0.930612245	0.124590164	0.567164179	228	1830	402	?a
?a  1076  ?b   => ?a  1360  ?b	0.018518519	0.033783784	0.714285714	5	148	7	?a
?a  613  ?b   => ?a  1360  ?b	0.081481481	0.000098782	0.488888889	22	222712	45	?a
?a  216  ?b   => ?a  625  ?b	0.014957265	0.000465465	0.310126582	49	105271	158	?a
?a  191  ?b   => ?a  625  ?b	0.016178266	0.00023041	0.133501259	53	230025	397	?a
?b  1336  ?a   => ?a  509  ?b	0.238181252	0.033479544	0.995833333	3824	114219	3840	?a
?a  265  ?b   => ?a  177  ?b	0.03	0.00004781	0.857142857	6	125497	7	?b
?a  613  ?b   => ?a  177  ?b	0.01	0.00000898	0.666666667	2	222712	3	?b
?b  210  ?a   => ?a  177  ?b	0.12	0.091254753	0.52173913	24	263	46	?b
?a  1382  ?b   => ?a  509  ?b	0.011086889	0.002559752	0.108868502	178	69538	1635	?a
?a  741  ?b   => ?a  444  ?b	0.012840514	0.016325908	0.127532777	214	13108	1678	?a
?a  1147  ?b   => ?a  444  ?b	0.130865235	0.088922412	0.314310419	2181	24527	6939	?a
?a  613  ?b   => ?a  302  ?b	0.038062284	0.000049391	0.523809524	11	222712	21	?a
?a  613  ?b   => ?a  629  ?b	0.011811024	0.000026941	0.4	6	222712	15	?b
?a  459  ?b   => ?a  629  ?b	0.019685039	0.00010229	0.117647059	10	97761	85	?b
?b  630  ?a   => ?a  629  ?b	0.431102362	0.411654135	0.964757709	219	532	227	?b
?b  40  ?a   => ?a  37  ?b	0.109022556	0.000150707	0.547169811	29	192427	53	?b
?b  1077  ?a   => ?a  37  ?b	0.082706767	0.000074176	0.314285714	22	296591	70	?b
?a  112  ?b   => ?a  1365  ?b	0.497856705	0.011572295	0.772813688	813	70254	1052	?b
?a  112  ?b   => ?a  1095  ?b	0.012244898	0.001067555	0.142585551	75	70254	526	?a
?a  306  ?b   => ?a  1095  ?b	0.029061224	0.017113739	0.125352113	178	10401	1420	?a
?a  613  ?b   => ?a  1095  ?b	0.049306122	0.001356011	0.382278481	302	222712	790	?a
?b  248  ?a   => ?a  1201  ?b	0.062325321	0.048404602	0.722852512	446	9214	617	?b
?a  250  ?b   => ?a  1201  ?b	0.095444382	0.028628914	0.897503285	683	23857	761	?b
?b  31  ?a   => ?a  1201  ?b	0.22079374	0.195641407	0.695116586	1580	8076	2273	?b
?b  439  ?a   => ?a  603  ?b	0.048034934	0.000013044	0.55	11	843275	20	?b
?a  977  ?b   => ?a  603  ?b	0.069868996	0.00272526	0.695652174	16	5871	23	?b
?a  100  ?b   => ?a  1103  ?b	0.041027034	0.021556031	0.100287802	906	42030	9034	?b
?b  1165  ?a   => ?a  1165  ?b	0.494641385	0.494641385	0.592300099	600	1213	1013	?b
?b  774  ?a   => ?a  301  ?b	0.077081192	0.155925156	0.914634146	75	481	82	?a
?b  1310  ?a   => ?a  301  ?b	0.157245632	0.153460381	0.987096774	153	997	155	?a
?a  300  ?b   => ?a  301  ?b	0.470709147	0.417883212	0.557177616	458	1096	822	?a
?a  391  ?b   => ?a  757  ?b	0.06613455	0.041756659	0.513274336	58	1389	113	?a
?a  401  ?b   => ?a  757  ?b	0.145952109	0.039143731	0.96969697	128	3270	132	?a
?a  948  ?b   => ?a  757  ?b	0.01368301	0.000358059	0.166666667	12	33514	72	?a
?a  98  ?b   => ?a  662  ?b	0.095081967	0.000589102	0.129464286	58	98455	448	?a
?b  498  ?a   => ?a  498  ?b	0.114606742	0.114606742	0.85	102	890	120	?b
?a  84  ?b   => ?a  983  ?b	0.015232292	0.084388186	0.454545455	20	237	44	?b
?a  879  ?b   => ?a  484  ?b	0.019230769	0.00000816	1	2	245099	2	?b
?b  512  ?a   => ?a  484  ?b	0.067307692	0.002568807	0.777777778	7	2725	9	?b
?b  88  ?a   => ?a  484  ?b	0.057692308	0.000003685	0.428571429	6	1628285	14	?b
?b  112  ?a   => ?a  484  ?b	0.019230769	0.000028468	0.333333333	2	70254	6	?b
?b  1012  ?a   => ?a  1012  ?b	0.014155517	0.014155517	1	73	5157	73	?a
?b  1058  ?a   => ?a  41  ?b	0.018832891	0.007046447	0.137864078	71	10076	515	?a
?b  879  ?a   => ?a  41  ?b	0.021485411	0.000330479	0.627906977	81	245099	129	?a
?a  221  ?b   => ?a  229  ?b	0.02844523	0.272266065	0.554535017	483	1774	871	?a
?a  483  ?b   => ?a  229  ?b	0.010365135	0.086232239	0.245125348	176	2041	718	?a
?a  236  ?b   => ?a  229  ?b	0.010600707	0.02699865	0.588235294	180	6667	306	?a
?b  1091  ?a   => ?a  1071  ?b	0.617992177	0.056664674	0.989561587	474	8365	479	?b
?b  198  ?a   => ?a  1  ?b	0.026649945	0.548387097	0.935779817	510	930	545	?a
?a  88  ?b   => ?a  1  ?b	0.023828186	0.000280049	0.269344359	456	1628285	1693	?a
?a  215  ?b   => ?a  1  ?b	0.220619742	0.002179801	0.324145873	4222	1936874	13025	?a
?a  61  ?b   => ?a  185  ?b	0.25	0.009202454	0.773195876	150	16300	194	?a
?a  1052  ?b   => ?a  1231  ?b	0.018475751	0.000623296	0.216216216	8	12835	37	?b
?a  950  ?b   => ?a  1231  ?b	0.011547344	0.098039216	0.277777778	5	51	18	?b
?b  703  ?a   => ?a  494  ?b	0.026143791	0.001193317	0.333333333	4	3352	12	?b
?a  635  ?b   => ?a  833  ?b	0.321100917	0.159380692	0.327102804	175	1098	535	?a
?a  100  ?b   => ?a  833  ?b	0.387155963	0.005020224	0.390740741	211	42030	540	?a
?a  20  ?b   => ?a  529  ?b	0.011337868	0.000696379	0.384615385	5	7180	13	?b
?a  193  ?b   => ?a  529  ?b	0.013605442	0.000215835	0.4	6	27799	15	?b
?a  943  ?b   => ?a  529  ?b	0.020408163	0.000180122	0.346153846	9	49966	26	?b
?a  948  ?b   => ?a  529  ?b	0.020408163	0.000268544	0.5625	9	33514	16	?b
?a  1052  ?b   => ?a  10  ?b	0.031536697	0.004285158	0.982142857	55	12835	56	?a
?b  1216  ?a   => ?a  43  ?b	0.014124294	0.066666667	0.714285714	5	75	7	?a
?b  138  ?a   => ?a  1045  ?b	0.026315789	0.000004697	0.761904762	64	13625415	84	?b
?b  613  ?a   => ?a  1045  ?b	0.162006579	0.001769101	0.940334129	394	222712	419	?b
?a  675  ?b   => ?a  522  ?b	0.0390625	0.009088548	0.291666667	105	11553	360	?a
?b  934  ?a   => ?a  1238  ?b	0.08372093	0.001064774	1	18	16905	18	?b
?a  722  ?b   => ?a  343  ?b	0.019961209	0.181217902	0.236137667	247	1363	1046	?b
?a  600  ?b   => ?a  343  ?b	0.060368515	0.327487944	0.369985141	747	2281	2019	?b
?a  719  ?b   => ?a  343  ?b	0.051074834	0.369806905	0.452722063	632	1709	1396	?b
?a  373  ?b   => ?a  343  ?b	0.215694198	0.490174472	0.541489146	2669	5445	4929	?b
?a  1103  ?b   => ?a  343  ?b	0.050105059	0.028075895	0.149253731	620	22083	4154	?b
?a  100  ?b   => ?a  343  ?b	0.257313722	0.075755413	0.361161525	3184	42030	8816	?b
?a  78  ?b   => ?a  109  ?b	0.062094189	0.049981807	0.3774669	1511	30231	4003	?a
?a  613  ?b   => ?a  109  ?b	0.010725734	0.001171917	0.105968331	261	222712	2463	?a
?a  216  ?b   => ?a  663  ?b	0.084210526	0.000151989	0.183908046	16	105271	87	?a
?a  73  ?b   => ?a  663  ?b	0.026315789	0.000138943	0.384615385	5	35986	13	?a
?a  815  ?b   => ?a  663  ?b	0.021052632	0.000000543	0.571428571	4	7364813	7	?a
?a  193  ?b   => ?a  663  ?b	0.010526316	0.000071945	0.181818182	2	27799	11	?a
?a  236  ?b   => ?a  663  ?b	0.042105263	0.00119994	0.666666667	8	6667	12	?a
?a  943  ?b   => ?a  663  ?b	0.010526316	0.000040027	0.5	2	49966	4	?a
?b  629  ?a   => ?a  630  ?b	0.411654135	0.431102362	0.960526316	219	508	228	?a
?b  385  ?a   => ?a  383  ?b	0.282051282	0.359748428	0.947019868	286	795	302	?b
?b  242  ?a   => ?a  83  ?b	0.078111588	0.001637309	0.561728395	91	55579	162	?b
