Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  764  ?a   => ?a  44  ?b	0.013780707	0.002376524	0.125340599	138	58068	1101	?b
?a  112  ?b   => ?a  44  ?b	0.020770921	0.004447866	0.135947712	208	46764	1530	?b
?a  1099  ?b   => ?a  44  ?b	0.016976233	0.004489041	0.136765889	170	37870	1243	?b
?a  112  ?b   => ?a  306  ?b	0.017892833	0.004020186	0.312292359	188	46764	602	?a
?b  228  ?a   => ?a  227  ?b	0.237430168	0.046220772	1	425	9195	425	?a
?a  1076  ?b   => ?a  1360  ?b	0.019011407	0.052083333	0.625	5	96	8	?a
?b  879  ?a   => ?a  1360  ?b	0.049429658	0.000039733	0.684210526	13	327182	19	?a
?a  613  ?b   => ?a  1360  ?b	0.16730038	0.000093385	0.666666667	44	471168	66	?a
?a  830  ?b   => ?a  479  ?b	0.016400709	0.2	0.711538462	37	185	52	?b
?b  982  ?a   => ?a  479  ?b	0.015514184	0.020945542	0.189189189	35	1671	185	?b
?a  613  ?b   => ?a  857  ?b	0.027448714	0.001008133	0.995807128	475	471168	477	?a
?a  1201  ?b   => ?a  250  ?b	0.02243256	0.059969636	0.89943074	474	7904	527	?b
?b  248  ?a   => ?a  250  ?b	0.100473261	0.268055556	0.857777778	2123	7920	2475	?b
?a  216  ?b   => ?a  663  ?b	0.262857143	0.000499062	0.516853933	46	92173	89	?a
?a  225  ?b   => ?a  663  ?b	0.062857143	0.000164616	0.275	11	66822	40	?a
?a  236  ?b   => ?a  663  ?b	0.08	0.001855533	0.451612903	14	7545	31	?a
?a  74  ?b   => ?a  663  ?b	0.04	0.000876314	0.777777778	7	7988	9	?a
?a  1060  ?b   => ?a  663  ?b	0.034285714	0.001309758	0.75	6	4581	8	?a
?a  1277  ?b   => ?a  663  ?b	0.034285714	0.000222783	0.666666667	6	26932	9	?a
?a  73  ?b   => ?a  663  ?b	0.022857143	0.000235682	0.4	4	16972	10	?a
?a  193  ?b   => ?a  663  ?b	0.017142857	0.000107581	0.375	3	27886	8	?a
?a  815  ?b   => ?a  663  ?b	0.017142857	0.000000563	0.6	3	5330404	5	?a
?a  483  ?b   => ?a  663  ?b	0.017142857	0.001489573	0.5	3	2014	6	?a
?b  613  ?a   => ?a  987  ?b	0.020430108	0.000040325	0.115853659	19	471168	164	?a
?a  570  ?b   => ?a  569  ?b	0.043995244	0.052631579	0.105413105	37	703	351	?a
?a  112  ?b   => ?a  986  ?b	0.026003076	0.003977419	0.264957265	186	46764	702	?a
?b  415  ?a   => ?a  415  ?b	0.235509977	0.235509977	0.898275431	7188	30521	8002	?b
?b  171  ?a   => ?a  171  ?b	0.763807286	0.763807286	0.990853659	650	851	656	?b
?a  458  ?b   => ?a  1246  ?b	0.015789474	0.000384049	1	6	15623	6	?b
?a  265  ?b   => ?a  1246  ?b	0.034210526	0.000096641	0.866666667	13	134518	15	?b
?a  112  ?b   => ?a  1246  ?b	0.060526316	0.000491831	0.884615385	23	46764	26	?b
?a  879  ?b   => ?a  1246  ?b	0.015789474	0.000018338	0.428571429	6	327182	14	?b
?a  613  ?b   => ?a  1246  ?b	0.039473684	0.000031836	0.681818182	15	471168	22	?b
?b  112  ?a   => ?a  1246  ?b	0.013157895	0.00010692	0.12195122	5	46764	41	?b
?b  1246  ?a   => ?a  1246  ?b	0.284210526	0.284210526	0.837209302	108	380	129	?b
?b  265  ?a   => ?a  1246  ?b	0.023684211	0.000066906	0.9	9	134518	10	?b
?a  40  ?b   => ?a  1069  ?b	0.038961039	0.000086457	0.126760563	9	104098	71	?a
?b  879  ?a   => ?a  702  ?b	0.010471204	0.000006113	1	2	327182	2	?a
?b  942  ?a   => ?a  941  ?b	0.392070485	0.43627451	0.87254902	89	204	102	?a
?b  702  ?a   => ?a  702  ?b	0.057591623	0.057591623	0.244444444	11	191	45	?a
?a  1013  ?b   => ?a  702  ?b	0.010471204	0.000439754	0.666666667	2	4548	3	?a
?a  613  ?b   => ?a  702  ?b	0.010471204	0.000004245	0.4	2	471168	5	?a
?a  142  ?b   => ?a  702  ?b	0.010471204	0.000312402	0.2	2	6402	10	?a
?a  286  ?b   => ?a  1303  ?b	0.052922591	0.185082873	0.858974359	67	362	78	?a
?a  741  ?b   => ?a  1303  ?b	0.014218009	0.001469268	0.75	18	12251	24	?a
?b  247  ?a   => ?a  1303  ?b	0.012638231	0.002596138	0.380952381	16	6163	42	?a
?a  78  ?b   => ?a  1303  ?b	0.063981043	0.002902082	0.23964497	81	27911	338	?a
?a  112  ?b   => ?a  1303  ?b	0.022906793	0.000620135	0.287128713	29	46764	101	?a
?a  44  ?b   => ?a  1303  ?b	0.011058452	0.001398043	0.538461538	14	10014	26	?a
?a  1052  ?b   => ?a  10  ?b	0.035953687	0.003704401	1	59	15927	59	?a
?b  1130  ?a   => ?a  651  ?b	0.013986014	0.095238095	1	2	21	2	?a
?a  330  ?b   => ?a  651  ?b	0.013986014	0.000839983	0.166666667	2	2381	12	?a
?b  498  ?a   => ?a  498  ?b	0.404624277	0.404624277	0.983277592	1470	3633	1495	?b
?b  170  ?a   => ?a  107  ?b	0.014275432	0.000966293	0.832167832	119	123151	143	?b
?a  166  ?b   => ?a  107  ?b	0.02603167	0.001756559	0.927350427	217	123537	234	?b
?b  108  ?a   => ?a  107  ?b	0.342010557	0.338156802	0.954469367	2851	8431	2987	?b
?a  722  ?b   => ?a  373  ?b	0.015239096	0.09841629	0.138755981	87	884	627	?b
?a  600  ?b   => ?a  373  ?b	0.051497635	0.162341248	0.204878049	294	1811	1435	?b
?a  100  ?b   => ?a  373  ?b	0.180416886	0.027684451	0.197962714	1030	37205	5203	?b
?b  567  ?a   => ?a  567  ?b	0.08891455	0.08891455	0.578947368	77	866	133	?b
?a  635  ?b   => ?a  567  ?b	0.011547344	0.017094017	0.15625	10	585	64	?b
?a  100  ?b   => ?a  567  ?b	0.013856813	0.000322537	0.153846154	12	37205	78	?b
?a  343  ?b   => ?a  373  ?b	0.454370293	0.194205286	0.323926074	2594	13357	8008	?b
?a  459  ?b   => ?a  77  ?b	0.013300212	0.001790005	0.12174325	257	143575	2111	?a
?a  215  ?b   => ?a  77  ?b	0.031827356	0.000239125	0.19954575	615	2571872	3082	?a
?a  239  ?b   => ?a  77  ?b	0.035346478	0.024117232	0.974322397	683	28320	701	?a
?a  1023  ?b   => ?a  77  ?b	0.030430057	0.002225688	0.487158244	588	264188	1207	?a
?a  401  ?b   => ?a  391  ?b	0.072348253	0.033183352	0.137209302	118	3556	860	?a
?b  113  ?a   => ?a  113  ?b	0.065484983	0.065484983	0.335012594	133	2031	397	?b
?a  458  ?b   => ?a  113  ?b	0.032496307	0.004224541	0.464788732	66	15623	142	?b
?a  722  ?b   => ?a  343  ?b	0.014973422	0.226244344	0.291120815	200	884	687	?b
?a  719  ?b   => ?a  343  ?b	0.028299768	0.390495868	0.484615385	378	968	780	?b
?a  600  ?b   => ?a  343  ?b	0.051209104	0.377691883	0.435946463	684	1811	1569	?b
?a  373  ?b   => ?a  343  ?b	0.194205286	0.454370293	0.512142152	2594	5709	5065	?b
?b  8  ?a   => ?a  799  ?b	0.026106697	0.001678832	0.176923077	92	54800	520	?b
?b  764  ?a   => ?a  799  ?b	0.032349603	0.001963216	0.228915663	114	58068	498	?b
?a  1103  ?b   => ?a  343  ?b	0.028224901	0.009768105	0.122921422	377	38595	3067	?b
?a  100  ?b   => ?a  343  ?b	0.265628509	0.095363526	0.39842785	3548	37205	8905	?b
?a  44  ?b   => ?a  799  ?b	0.045970488	0.016177352	0.698275862	162	10014	232	?b
?b  576  ?a   => ?a  576  ?b	0.31591439	0.31591439	0.525579301	15174	48032	28871	?b
?a  1282  ?b   => ?a  165  ?b	0.034722222	0.133333333	1	10	75	10	?a
?a  127  ?b   => ?a  165  ?b	0.038194444	0.033536585	0.47826087	11	328	23	?a
?a  655  ?b   => ?a  108  ?b	0.044953149	0.398109244	0.434633028	379	952	872	?a
?b  166  ?a   => ?a  108  ?b	0.013640138	0.000930895	0.912698413	115	123537	126	?a
?a  170  ?b   => ?a  108  ?b	0.024433638	0.001672743	0.820717131	206	123151	251	?a
?b  107  ?a   => ?a  108  ?b	0.338156802	0.342010557	0.990274401	2851	8336	2879	?a
?b  18  ?a   => ?a  590  ?b	0.099009901	0.003172086	0.625	20	6305	32	?a
?a  216  ?b   => ?a  483  ?b	0.02979146	0.00065095	0.722891566	60	92173	83	?a
?a  236  ?b   => ?a  483  ?b	0.044190665	0.011795891	0.194748359	89	7545	457	?a
?a  229  ?b   => ?a  483  ?b	0.048659384	0.007044785	0.161449753	98	13911	607	?a
?b  768  ?a   => ?a  418  ?b	0.010582011	0.001026167	1	4	3898	4	?a
?a  366  ?b   => ?a  418  ?b	0.216931217	0.119883041	0.788461538	82	684	104	?a
?a  918  ?b   => ?a  418  ?b	0.010582011	0.000149936	0.307692308	4	26678	13	?a
?a  1238  ?b   => ?a  418  ?b	0.05026455	0.052341598	0.38	19	363	50	?a
?b  454  ?a   => ?a  768  ?b	0.018471011	0.000198669	0.590163934	72	362412	122	?b
?b  179  ?a   => ?a  768  ?b	0.014366342	0.000977824	0.152588556	56	57270	367	?b
?a  109  ?b   => ?a  768  ?b	0.048742945	0.007155231	0.311986864	190	26554	609	?b
?b  51  ?a   => ?a  768  ?b	0.070292458	0.061147065	0.763231198	274	4481	359	?b
?a  78  ?b   => ?a  768  ?b	0.065418163	0.009136183	0.386949924	255	27911	659	?b
?a  100  ?b   => ?a  635  ?b	0.304273504	0.004784303	0.358870968	178	37205	496	?a
?a  567  ?b   => ?a  635  ?b	0.017094017	0.011547344	0.37037037	10	866	27	?a
?a  833  ?b   => ?a  635  ?b	0.218803419	0.329048843	0.339522546	128	389	377	?a
?a  418  ?b   => ?a  366  ?b	0.119883041	0.216931217	0.953488372	82	378	86	?b
?a  613  ?b   => ?a  366  ?b	0.062865497	0.000091263	0.208737864	43	471168	206	?b
?a  1  ?b   => ?a  366  ?b	0.021929825	0.001240695	0.9375	15	12090	16	?b
?b  365  ?a   => ?a  366  ?b	0.209064327	0.161217587	0.953333333	143	887	150	?b
?a  215  ?b   => ?a  157  ?b	0.01342945	0.000142698	0.865566038	367	2571872	424	?a
?a  439  ?b   => ?a  157  ?b	0.826771077	0.044373568	0.86444504	22594	509177	26137	?a
?b  143  ?a   => ?a  1058  ?b	0.046222222	0.036666197	0.268595041	520	14182	1936	?b
?a  12  ?b   => ?a  785  ?b	0.013114754	0.021390374	0.8	4	187	5	?b
?b  973  ?a   => ?a  785  ?b	0.036065574	0.004845815	0.366666667	11	2270	30	?b
?b  673  ?a   => ?a  673  ?b	0.22	0.22	1	22	100	22	?b
?a  613  ?b   => ?a  673  ?b	0.01	0.000002122	1	1	471168	1	?b
?a  879  ?b   => ?a  673  ?b	0.02	0.000006113	0.25	2	327182	8	?b
?a  829  ?b   => ?a  889  ?b	0.185714286	0.054110302	0.684210526	52	961	76	?a
?a  88  ?b   => ?a  889  ?b	0.014285714	0.000001909	0.666666667	4	2095341	6	?a
?a  1074  ?b   => ?a  13  ?b	0.061658674	0.186195237	0.920087178	2533	13604	2753	?a
?a  1121  ?b   => ?a  1386  ?b	0.810959984	0.754170486	0.777252976	4114	5455	5293	?a
?a  126  ?b   => ?a  13  ?b	0.960517027	0.129550894	0.868739129	39459	304583	45421	?a
?b  519  ?a   => ?a  519  ?b	0.333333333	0.333333333	0.967032967	88	264	91	?b
?a  265  ?b   => ?a  519  ?b	0.015151515	0.000029736	0.666666667	4	134518	6	?b
?b  764  ?a   => ?a  669  ?b	0.072340426	0.00029276	0.320754717	17	58068	53	?b
?b  8  ?a   => ?a  669  ?b	0.055319149	0.000237226	0.276595745	13	54800	47	?b
?a  799  ?b   => ?a  669  ?b	0.076595745	0.005107832	0.782608696	18	3524	23	?b
?a  44  ?b   => ?a  669  ?b	0.025531915	0.000599161	0.666666667	6	10014	9	?b
?a  35  ?b   => ?a  34  ?b	0.22181552	0.746305419	0.799472296	303	406	379	?b
?a  418  ?b   => ?a  1238  ?b	0.052341598	0.05026455	1	19	378	19	?b
?b  934  ?a   => ?a  1238  ?b	0.245179063	0.003938576	0.988888889	89	22597	90	?b
?b  78  ?a   => ?a  1238  ?b	0.019283747	0.000250797	0.875	7	27911	8	?b
?b  1382  ?a   => ?a  1021  ?b	0.013358779	0.000023816	0.259259259	7	293925	27	?b
?b  225  ?a   => ?a  608  ?b	0.049104564	0.001272036	0.988372093	85	66822	86	?b
?b  1382  ?a   => ?a  991  ?b	0.077922078	0.000142894	0.5	42	293925	84	?b
?a  78  ?b   => ?a  109  ?b	0.163139263	0.155207624	0.626464208	4332	27911	6915	?a
?b  815  ?a   => ?a  9  ?b	0.044554455	0.000005065	1	27	5330404	27	?b
?b  107  ?a   => ?a  655  ?b	0.053571429	0.006118042	0.34	51	8336	150	?a
?a  108  ?b   => ?a  655  ?b	0.398109244	0.044953149	0.422048998	379	8431	898	?a
?b  52  ?a   => ?a  66  ?b	0.202898551	0.090909091	1	28	308	28	?b
?a  703  ?b   => ?a  1233  ?b	0.026693528	0.04981203	0.894514768	212	4256	237	?a
?a  112  ?b   => ?a  1233  ?b	0.521908839	0.088636558	0.912794539	4145	46764	4541	?a
?a  613  ?b   => ?a  302  ?b	0.037037037	0.000014857	0.4375	7	471168	16	?a
?a  165  ?b   => ?a  127  ?b	0.033536585	0.038194444	0.314285714	11	288	35	?a
?b  163  ?a   => ?a  1237  ?b	0.055248619	0.051948052	0.444444444	40	770	90	?b
?b  1384  ?a   => ?a  679  ?b	0.174959056	0.319909128	0.987882653	3098	9684	3136	?a
?a  13  ?b   => ?a  1074  ?b	0.186195237	0.061658674	0.941985868	2533	41081	2689	?a
